"date";"count";"package"
2019-01-01;5315;"magrittr"
2019-01-02;12038;"magrittr"
2019-01-03;14212;"magrittr"
2019-01-04;13055;"magrittr"
2019-01-05;8636;"magrittr"
2019-01-06;7989;"magrittr"
2019-01-07;18130;"magrittr"
2019-01-08;20808;"magrittr"
2019-01-09;22598;"magrittr"
2019-01-10;22721;"magrittr"
2019-01-11;20078;"magrittr"
2019-01-12;10977;"magrittr"
2019-01-13;11002;"magrittr"
2019-01-14;21511;"magrittr"
2019-01-15;24190;"magrittr"
2019-01-16;24432;"magrittr"
2019-01-17;24247;"magrittr"
2019-01-18;19698;"magrittr"
2019-01-19;10719;"magrittr"
2019-01-20;9576;"magrittr"
2019-01-21;18928;"magrittr"
2019-01-22;22686;"magrittr"
2019-01-23;23879;"magrittr"
2019-01-24;23428;"magrittr"
2019-01-25;20454;"magrittr"
2019-01-26;9776;"magrittr"
2019-01-27;9179;"magrittr"
2019-01-28;22385;"magrittr"
2019-01-29;22493;"magrittr"
2019-01-30;21640;"magrittr"
2019-01-31;22042;"magrittr"
2019-02-01;19154;"magrittr"
2019-02-02;9301;"magrittr"
2019-02-03;9381;"magrittr"
2019-02-04;21205;"magrittr"
2019-02-05;22492;"magrittr"
2019-02-06;21449;"magrittr"
2019-02-07;22158;"magrittr"
2019-02-08;18662;"magrittr"
2019-02-09;9267;"magrittr"
2019-02-10;9289;"magrittr"
2019-02-11;21835;"magrittr"
2019-02-12;22449;"magrittr"
2019-02-13;22368;"magrittr"
2019-02-14;20742;"magrittr"
2019-02-15;17468;"magrittr"
2019-02-16;9039;"magrittr"
2019-02-17;8628;"magrittr"
2019-02-18;19635;"magrittr"
2019-02-19;21836;"magrittr"
2019-02-20;21613;"magrittr"
2019-02-21;21245;"magrittr"
2019-02-22;18744;"magrittr"
2019-02-23;9664;"magrittr"
2019-02-24;9154;"magrittr"
2019-02-25;21343;"magrittr"
2019-02-26;22738;"magrittr"
2019-02-27;22488;"magrittr"
2019-02-28;22163;"magrittr"
2019-03-01;20518;"magrittr"
2019-03-02;11899;"magrittr"
2019-03-03;11577;"magrittr"
2019-03-04;23892;"magrittr"
2019-03-05;25010;"magrittr"
2019-03-06;26503;"magrittr"
2019-03-07;25139;"magrittr"
2019-03-08;18952;"magrittr"
2019-03-09;10409;"magrittr"
2019-03-10;9874;"magrittr"
2019-03-11;22609;"magrittr"
2019-03-12;24243;"magrittr"
2019-03-13;23937;"magrittr"
2019-03-14;24026;"magrittr"
2019-03-15;20263;"magrittr"
2019-03-16;10518;"magrittr"
2019-03-17;9961;"magrittr"
2019-03-18;23054;"magrittr"
2019-03-19;24128;"magrittr"
2019-03-20;24573;"magrittr"
2019-03-21;22291;"magrittr"
2019-03-22;19384;"magrittr"
2019-03-23;10028;"magrittr"
2019-03-24;9791;"magrittr"
2019-03-25;22572;"magrittr"
2019-03-26;23761;"magrittr"
2019-03-27;24913;"magrittr"
2019-03-28;22870;"magrittr"
2019-03-29;19428;"magrittr"
2019-03-30;9965;"magrittr"
2019-03-31;9581;"magrittr"
2019-04-01;22321;"magrittr"
2019-04-02;23823;"magrittr"
2019-04-03;24362;"magrittr"
2019-04-04;23068;"magrittr"
2019-04-05;19868;"magrittr"
2019-04-06;9830;"magrittr"
2019-04-07;9834;"magrittr"
2019-04-08;22549;"magrittr"
2019-04-09;24774;"magrittr"
2019-04-10;25623;"magrittr"
2019-04-11;23260;"magrittr"
2019-04-12;19542;"magrittr"
2019-04-13;9747;"magrittr"
2019-04-14;9154;"magrittr"
2019-04-15;20447;"magrittr"
2019-04-16;20625;"magrittr"
2019-04-17;20704;"magrittr"
2019-04-18;18129;"magrittr"
2019-04-19;13574;"magrittr"
2019-04-20;7886;"magrittr"
