Record;City;OtherName;Country;Latitude;Longitude;Certainty;year;pop;cityid
1;Eridu;;Iraq;30.8158379;45.99607031;1;-3700;6000;Eridu_30.8_46
2;Eridu;;Iraq;30.8158379;45.99607031;1;-3500;10000;Eridu_30.8_46
3;Larak;Kesh;Iraq;32.31273751;45.66099799;1;-3500;10000;Larak_32.3_45.7
4;Uruk;Erech;Iraq;31.322222;45.636111;1;-3500;14000;Uruk_31.3_45.6
5;Anshan;;Iran;30.01201958;52.40857658;1;-3300;10000;Anshan_30_52.4
6;Eridu;;Iraq;30.8158379;45.99607031;1;-3300;10000;Eridu_30.8_46
7;Larak;Kesh;Iraq;32.31273751;45.66099799;1;-3300;10000;Larak_32.3_45.7
8;Uruk;Erech;Iraq;31.322222;45.636111;1;-3300;40000;Uruk_31.3_45.6
9;Anshan;;Iran;30.01201958;52.40857658;1;-3000;10000;Anshan_30_52.4
10;Eridu;;Iraq;30.8158379;45.99607031;1;-3000;10000;Eridu_30.8_46
11;Larak;Kesh;Iraq;32.31273751;45.66099799;1;-3000;10000;Larak_32.3_45.7
12;Nagar;Tell Brak;Syria;36.66739231;41.05865393;1;-3000;20000;Nagar_36.7_41.1
13;Nippur;;Iraq;32.12693858;45.23078534;1;-3000;10000;Nippur_32.1_45.2
14;Uruk;Erech;Iraq;31.322222;45.636111;1;-3000;40000;Uruk_31.3_45.6
15;Adab;;Iraq;31.94700807;45.96842134;1;-2800;10000;Adab_31.9_46
16;Anshan;;Iran;30.01201958;52.40857658;1;-2800;10000;Anshan_30_52.4
17;Kish;Qish;Iraq;32.55217989;44.5856425;1;-2800;30000;Kish_32.6_44.6
18;Larak;Kesh;Iraq;32.31273751;45.66099799;1;-2800;40000;Larak_32.3_45.7
19;Larsa;;Iraq;31.28397535;45.85304653;1;-2800;16000;Larsa_31.3_45.9
20;Mari;;Syria;34.54962872;40.88925833;1;-2800;10000;Mari_34.5_40.9
21;Nagar;Tell Brak;Syria;36.66739231;41.05865393;1;-2800;20000;Nagar_36.7_41.1
22;Nippur;;Iraq;32.12693858;45.23078534;1;-2800;10000;Nippur_32.1_45.2
23;Shuruppak;;Iraq;31.77736278;45.50976115;1;-2800;30000;Shuruppak_31.8_45.5
24;Umma;;Sumer;31.6211048;45.93344587;1;-2800;20000;Umma_31.6_45.9
25;Ur;;Iraq;30.962659;46.10321;1;-2800;12000;Ur_31_46.1
26;Urkesh;Urkiesh, Urkish, Tell Mozan;Syria;37.056944;40.997222;3;-2800;10000;Urkesh_37.1_41
27;Uruk;Erech;Iraq;31.322222;45.636111;1;-2800;80000;Uruk_31.3_45.6
28;Zabalam;Zabala;Iraq;31.743333;45.876667;2;-2800;10000;Zabalam_31.7_45.9
29;Adab;;Iraq;31.94700807;45.96842134;1;-2500;20000;Adab_31.9_46
30;Akshak;;Iraq;33.94720142;44.24471719;3;-2500;10000;Akshak_33.9_44.2
31;Anshan;;Iran;30.01201958;52.40857658;1;-2500;10000;Anshan_30_52.4
32;Ebla;;Syria;35.79839754;36.79872812;1;-2500;30000;Ebla_35.8_36.8
33;Harappa;;Pakistan;30.62983646;72.86614561;1;-2500;15000;Harappa_30.6_72.9
34;Kish;Qish;Iraq;32.55217989;44.5856425;1;-2500;20000;Kish_32.6_44.6
35;Lagash;;Iraq;31.41480316;46.40981591;1;-2500;60000;Lagash_31.4_46.4
36;Larak;Kesh;Iraq;32.31273751;45.66099799;1;-2500;10000;Larak_32.3_45.7
37;Larsa;;Iraq;31.28397535;45.85304653;1;-2500;10000;Larsa_31.3_45.9
38;Mari;;Syria;34.54962872;40.88925833;1;-2500;50000;Mari_34.5_40.9
39;Memphis;;Egypt;29.844722;31.250833;2;-2500;30000;Memphis_29.8_31.3
40;Mohenjodaro;Mohenjo-Daro;Pakistan;27.32533494;68.13293014;1;-2500;20000;Mohenjodaro_27.3_68.1
